species,tissues,batch,GPX
Magallana_gigas,gills,ctrl,0.181945613
Magallana_gigas,gills,ctrl,0.204324924
Magallana_gigas,gills,ctrl,0.20835127
Magallana_gigas,digestive_tract,ctrl,0.39912734
Magallana_gigas,digestive_tract,ctrl,0.64685052
Magallana_gigas,digestive_tract,ctrl,1.071473751
Magallana_gigas,digestive_tract,ctrl,0.634658059
Magallana_gigas,digestive_tract,ctrl,0.485966157
Magallana_gigas,digestive_tract,ctrl,0.618463674
Magallana_gigas,gills,5ug/L,0.271375015
Magallana_gigas,gills,5ug/L,0.296795953
Magallana_gigas,gills,5ug/L,0.25073633
Magallana_gigas,gills,5ug/L,0.380087023
Magallana_gigas,gills,5ug/L,0.267672466
Magallana_gigas,digestive_tract,5ug/L,0.790616421
Magallana_gigas,digestive_tract,5ug/L,0.704373048
Magallana_gigas,digestive_tract,5ug/L,0.755944931
Magallana_gigas,digestive_tract,5ug/L,0.795414462
Magallana_gigas,digestive_tract,5ug/L,1.10249487
Magallana_gigas,gills,10ug/L,0.264098269
Magallana_gigas,gills,10ug/L,0.242789064
Magallana_gigas,gills,10ug/L,0.310013717
Magallana_gigas,digestive_tract,10ug/L,0.742694377
Magallana_gigas,digestive_tract,10ug/L,0.464892665
Magallana_gigas,digestive_tract,10ug/L,0.697302287
Magallana_gigas,digestive_tract,10ug/L,0.774117369
Magallana_gigas,digestive_tract,10ug/L,0.708092192
Magallana_gigas,digestive_tract,10ug/L,1.022435897
Pachygrapsus_marmoratus,gills,ctrl,0.221162038
Pachygrapsus_marmoratus,gills,ctrl,0.151744658
Pachygrapsus_marmoratus,gills,ctrl,0.179080179
Pachygrapsus_marmoratus,gills,ctrl,0.161230062
Pachygrapsus_marmoratus,digestive_tract,ctrl,0.161917343
Pachygrapsus_marmoratus,digestive_tract,ctrl,0.072964318
Pachygrapsus_marmoratus,digestive_tract,ctrl,0.192925411
Pachygrapsus_marmoratus,digestive_tract,ctrl,0.08096421
Pachygrapsus_marmoratus,digestive_tract,ctrl,0.461323392
Pachygrapsus_marmoratus,gills,5ug/L,0.223075741
Pachygrapsus_marmoratus,gills,5ug/L,0.165839309
Pachygrapsus_marmoratus,gills,5ug/L,0.187879783
Pachygrapsus_marmoratus,gills,5ug/L,0.323856256
Pachygrapsus_marmoratus,digestive_tract,5ug/L,0.093095263
Pachygrapsus_marmoratus,digestive_tract,5ug/L,0.310418783
Pachygrapsus_marmoratus,digestive_tract,5ug/L,0.230607966
Pachygrapsus_marmoratus,digestive_tract,5ug/L,0.139035861
