species,tissues,batch,SOD
Magallana_gigas,gills,ctrl,0.464001288
Magallana_gigas,gills,ctrl,0.370852881
Magallana_gigas,gills,ctrl,0.344494758
Magallana_gigas,digestive_tract,ctrl,0.045900977
Magallana_gigas,digestive_tract,ctrl,0.226017827
Magallana_gigas,digestive_tract,ctrl,0.044893663
Magallana_gigas,gills,5ug/L,0.343381608
Magallana_gigas,gills,5ug/L,0.184143812
Magallana_gigas,gills,5ug/L,0.28472012
Magallana_gigas,gills,5ug/L,0.460413673
Magallana_gigas,gills,5ug/L,0.281545943
Magallana_gigas,gills,5ug/L,0.292456954
Magallana_gigas,digestive_tract,5ug/L,0.052743347
Magallana_gigas,digestive_tract,5ug/L,0.049994216
Magallana_gigas,digestive_tract,5ug/L,0.020957171
Magallana_gigas,gills,10ug/L,0.227887335
Magallana_gigas,gills,10ug/L,0.403056951
Magallana_gigas,gills,10ug/L,0.318866632
Magallana_gigas,gills,10ug/L,0.388937659
Magallana_gigas,gills,10ug/L,0.363257633
Magallana_gigas,gills,10ug/L,0.319258412
Magallana_gigas,digestive_tract,10ug/L,0.220272493
Magallana_gigas,digestive_tract,10ug/L,0.24198925
Magallana_gigas,digestive_tract,10ug/L,0.182307397
Magallana_gigas,digestive_tract,10ug/L,0.282019828
Magallana_gigas,digestive_tract,10ug/L,0.168046765
Pachygrapsus_marmoratus,gills,ctrl,0.386131147
Pachygrapsus_marmoratus,gills,ctrl,0.015841173
Pachygrapsus_marmoratus,gills,ctrl,0.33992071
Pachygrapsus_marmoratus,gills,ctrl,0.362972543
Pachygrapsus_marmoratus,digestive_tract,ctrl,0.06727335
Pachygrapsus_marmoratus,digestive_tract,ctrl,0.33663295
Pachygrapsus_marmoratus,digestive_tract,ctrl,0.054192531
Pachygrapsus_marmoratus,digestive_tract,ctrl,0.124632407
Pachygrapsus_marmoratus,digestive_tract,ctrl,0.081870664
Pachygrapsus_marmoratus,gills,5ug/L,0.704105466
Pachygrapsus_marmoratus,gills,5ug/L,0.485088472
Pachygrapsus_marmoratus,gills,5ug/L,0.492428494
Pachygrapsus_marmoratus,gills,5ug/L,0.954861111
Pachygrapsus_marmoratus,digestive_tract,5ug/L,0.005781662
Pachygrapsus_marmoratus,digestive_tract,5ug/L,0.085077741
Pachygrapsus_marmoratus,digestive_tract,5ug/L,0.021980607
Pachygrapsus_marmoratus,digestive_tract,5ug/L,0.456358052
Pachygrapsus_marmoratus,gills,10ug/L,0.238505326
Pachygrapsus_marmoratus,gills,10ug/L,0.779060058
Pachygrapsus_marmoratus,digestive_tract,10ug/L,0.008664556
Pachygrapsus_marmoratus,digestive_tract,10ug/L,0.232130272
Pachygrapsus_marmoratus,digestive_tract,10ug/L,0.344183539
Pachygrapsus_marmoratus,digestive_tract,10ug/L,0.400357511
Pachygrapsus_marmoratus,digestive_tract,10ug/L,0.686922856
Carcinus_maenas,gills,ctrl,0.326384087
Carcinus_maenas,gills,ctrl,0.257764605
Carcinus_maenas,gills,ctrl,0.374584136
Carcinus_maenas,gills,ctrl,0.150230393
Carcinus_maenas,digestive_tract,ctrl,0.171050713
Carcinus_maenas,digestive_tract,ctrl,0.096992241
